valeur_fonciere,surface_reelle_bati,type_local,nom_commune,code_departement,latitude,longitude,prix_m2,annee
800000.0,73.0,Appartement,Rive-De-Gier,42,45.525305,4.610536,10958.90410958904,2023
52000.0,39.0,Appartement,Limoges,87,45.828248,1.262482,1333.3333333333333,2023
250137.0,85.0,Appartement,Valenciennes,59,50.365238,3.538775,2942.788235294118,2023
158450.0,27.0,Appartement,Vallauris,06,43.572138,7.083003,5868.518518518518,2023
56000.0,19.0,Appartement,Joué-Lès-Tours,37,47.354177,0.698777,2947.3684210526317,2023
190000.0,63.0,Maison,Nîmes,30,43.845505,4.35221,3015.873015873016,2023
119500.0,27.0,Appartement,Angers,49,47.473887,-0.585481,4425.925925925926,2023
1225000.0,100.0,Maison,Sainte-Foy-Lès-Lyon,69,45.744077,4.797842,12250.0,2023
62000.0,31.0,Appartement,Limoges,87,45.838695,1.249347,2000.0,2023
249000.0,82.0,Appartement,Ajaccio,2A,41.935128,8.756543,3036.5853658536585,2023
237000.0,46.0,Appartement,Nice,06,43.702094,7.290384,5152.173913043478,2023
104000.0,16.0,Appartement,Aix-En-Provence,13,43.530459,5.447817,6500.0,2023
166300.0,100.0,Maison,Tarbes,65,43.245553,0.050038,1663.0,2023
230000.0,85.0,Maison,Pontchâteau,44,47.424955,-2.05968,2705.8823529411766,2023
82000.0,15.0,Appartement,Rennes,35,48.115044,-1.676276,5466.666666666667,2023
117000.0,77.0,Appartement,Le Pont-De-Claix,38,45.126583,5.696824,1519.4805194805194,2023
195750.0,66.0,Appartement,La Riche,37,47.389497,0.656018,2965.909090909091,2023
60000.0,21.0,Maison,Abbeville,80,50.116629,1.832189,2857.1428571428573,2023
115000.0,97.0,Maison,Gouffern En Auge,61,48.823869,0.170269,1185.5670103092784,2023
109208.0,55.0,Appartement,Quimper,29,47.992248,-4.07877,1985.6,2023
810000.0,63.0,Appartement,Paris 12E Arrondissement,75,48.850046,2.379538,12857.142857142857,2023
